124,"大屯东-大屯南-炎黄艺术馆-安慧桥北-奥体东门-五路居-安贞里-安外甘水桥-蒋宅口-地坛西门-安定门内-方家胡同-小经厂-宝钞胡同-鼓楼-地安门外-地安门内-景山东街-景山东门-故宫-北海-西安门-西四丁字街""
14,角门-西马场北口-马家堡东口-洋桥-四路通-游泳池-太平街-虎坊路-虎坊桥-琉璃厂-和平门-六步口-力学胡同-灵镜胡同-府右街-西安门
21,"北京西站-铁路医院-黄亭子-军事博物馆-木樨地-经委会-三里河-三里河东口-社会路-儿童医院-月坛-阜成门-车公庄-西直门-索家坟-明光村-学院路-蓟门桥-塔院-明春园-牡丹园-建德门桥-北辰路-安贞西里-中国科技馆""
302,巴沟村-六郎庄-芙蓉里-中关村-中关村路口-海淀黄庄-人民大学-红民村-大钟寺-学院路-北太平庄-马甸-农林局-安贞里-和平西街-和平街北口-西坝河-静安庄-牛王庙-亮马桥-农展馆-朝阳公园-朝阳北路-辛庄
320区,北京西站-铁路医院-黄亭子-军事博物馆-木樨地-玉渊潭-甘家口-甘家口商场-四道口(车公庄西路)-白石桥-北京图书馆-民族大学-魏公村-农科院-人民大学-海淀黄庄-中关村-中关园-圆明园-北京大学-西苑
331,香山-卧佛寺-万安公墓-正蓝旗-丰户营-娘娘府-林科院-厢红旗-军科院-青龙桥-北宫门-颐和园-西苑-颐和园路东口-圆明园-清华西门-中关园北站-蓝旗营-清华园-五道口-语言学院-成府路东口-航空航天大学-北医三院-塔院-牡丹-北太平庄-师范大学-小西天-新街口豁口
362,城铁西二旗站-上地七街-软件园南站-东北旺-东北旺西口-东北旺苗圃-马连洼西站-农大路北口-梅园-中国农业大学西校区-肖家河-小清河-骚子营-西苑北站-西苑医院- 海淀公园-万泉河桥南-万柳中路北口-万柳中路-巴沟南路-万柳中路南口-厂洼北站-厂洼-厂洼街东口-万寿-紫竹桥北-紫竹院南门-白石桥东-动物园-西直门外-西直门
368,左安路-华威西里-华威路北口-潘家园桥北-潘家园桥-十里河桥北-方庄桥东-方庄桥西-刘家窑桥西-木樨园桥东-木樨园桥西-洋桥西-草桥-玉泉营桥西-夏家胡同-丽泽桥-西局-六里桥南-六里桥北里-公主坟-八一湖-玉渊潭西门-航天桥西-西钓鱼台-定慧寺东-定慧桥东-定慧桥南《集美家具建材城》
394,"六里桥-六里桥北里-什坊院-公主坟南站-公主坟-八一湖-阜成路-花园村-紫竹院-万寿寺-魏公村西口-三义庙-长春桥路-万柳中路南口-巴沟村南路-万柳中路北口-巴沟村-万泉河路-北京市地震局-海淀-北京大学西门-圆明园-西苑-颐和园""
,
416,来广营-望京北路-利泽中街-望京花园-广顺北大街-南湖东里-湖光中街-花家地西里-花家地北里-花家地街-丽都饭店-芳园里-肖君庙-五里沟-麦子店西街-三元庵-亮马桥-农展馆-三里屯-体育场-体育馆-中街-东直门-春秀路-幸福三村-农展馆-亮马桥-三元庵-麦子店西街-五里沟-肖君庙-芳园里-丽都饭店-花家地街-花家地北里-花家地西里-湖光中街-南湖东里-广顺北大街-望京花园-利泽中街-望京北路-来广营
423,阜成门-月坛北街-儿童医院-复兴门-西便门-槐柏树街-北线阁-南线阁-枣林前街-建功北里-南菜园-鸭子桥北里-菜户营-菜户营南站-环三环家居-玉泉营-马家楼-丰南环岛-新发地-银地小区-陈留村-西红门-高立庄-羊坊村-长丰园-明春苑
43,团结湖-白家庄-中纺街-朝阳医院-东大桥-光华路-永安里-东便门-崇文门-花市 瓷器口-法华寺-天坛东路南口-蒲黄榆-俱乐部-横七条-赵公口-贾家花园
445,南十里居-南十里居北站-酒仙桥商场-三街坊-电子城小区-驼房营-小陈各庄-将台路东站-将台路口北-陈各庄-王爷坟-大山子路口南-望京国际商业中心-阜通东大街东口-阜通东大街-望京医院-花家地北里-花家地西里-南湖南路-湖光中街-湖光中街西口-城铁望京西站
57,公主坟-公主坟南站-六里桥北里-六里桥-莲花池-湾子-达官营-广安门-牛街-菜市口-虎坊桥西-虎坊桥东-珠市口-过街楼-三里河-桥湾-水稻子-瓷器口-栏杆市-培新街-安化楼-广渠门-马圈-垂杨柳-双井-内燃机厂-大北窑南站-大北窑-朗家园-八王坟-四惠站
,
656,途经站点：东北旺中路-东北旺-软件园南站-上地七街-上地五街-上地环岛南-上地南口-北京体育大学-圆明园东门-清华附中-清华大学西门-中关园北站-蓝旗营-清华园-五道口-北京语言大学-成府路口南-学院桥东-志新桥西-健翔桥西-健翔桥东-北辰桥西-亚运村-安慧桥东-惠新东桥西-惠新东桥东-育慧里-望和桥-望和桥东-望京桥西-望京桥北-南湖西里-花家地西里-花家地北里-望京医院-阜通东大街-广顺南大街南口-万红西街-陈各庄-酒仙桥-酒仙桥中心小学-南十里居北站-南十里居"
,
BRT1,德茂庄 - 东营房 - 六营门 - 东高地 - 西洼地 - 三营门 - 和义南站 - 和义农场 - 久敬庄 - 大红门桥 - 大红门西里 - 南苑路果园 - 木樨园桥 - 沙子口 - 永定门内 - 天坛 - 前门
,
